StudyNum,Study,mediangrouprespN,mediangroupresp,mouse,MouseResp,drug,cellline,MouseRespN,mousenum,NumMiceAnalyzed,included,type
260,0507-A1-1,2,PD2,7,PD2,507,A1,2,7,10,Yes,Solid Tumor
260,0507-A1-1,2,PD2,8,PD2,507,A1,2,8,10,Yes,Solid Tumor
260,0507-A1-1,2,PD2,9,PR,507,A1,6,9,10,Yes,Solid Tumor
260,0507-A1-1,2,PD2,10,PD1,507,A1,0,10,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,1,PD2,601,A1,2,1,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,2,PD2,601,A1,2,2,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,3,PD2,601,A1,2,3,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,4,PD2,601,A1,2,4,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,5,PD2,601,A1,2,5,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,6,PD2,601,A1,2,6,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,7,PD2,601,A1,2,7,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,8,PD2,601,A1,2,8,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,9,PD2,601,A1,2,9,10,Yes,Solid Tumor
299,0601-A1-1,2,PD2,10,PD2,601,A1,2,10,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,1,SD,602,A1,4,1,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,2,PD2,602,A1,2,2,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,3,PD2,602,A1,2,3,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,4,PD2,602,A1,2,4,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,5,PR,602,A1,6,5,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,6,PD2,602,A1,2,6,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,7,PR,602,A1,6,7,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,8,CR,602,A1,8,8,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,9,PD2,602,A1,2,9,10,Yes,Solid Tumor
343,0602-A1-1,3,PD2,10,SD,602,A1,4,10,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,1,PD1,603,A1,0,1,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,2,PD1,603,A1,0,2,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,3,PD1,603,A1,0,3,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,4,PD1,603,A1,0,4,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,5,PD1,603,A1,0,5,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,6,PD1,603,A1,0,6,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,7,PD1,603,A1,0,7,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,8,PD1,603,A1,0,8,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,9,PD1,603,A1,0,9,10,Yes,Solid Tumor
388,0603-A1-1,0,PD1,10,PD1,603,A1,0,10,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,1,PD1,604,A1,0,1,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,2,PD1,604,A1,0,2,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,3,PD1,604,A1,0,3,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,4,PD1,604,A1,0,4,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,5,PD1,604,A1,0,5,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,6,PD1,604,A1,0,6,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,7,PD1,604,A1,0,7,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,8,PD1,604,A1,0,8,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,9,PD1,604,A1,0,9,10,Yes,Solid Tumor
429,0604-A1-1,0,PD1,10,PD1,604,A1,0,10,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,1,PD1,605,A1,0,1,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,2,PD1,605,A1,0,2,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,3,PD1,605,A1,0,3,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,4,PD2,605,A1,2,4,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,5,PD1,605,A1,0,5,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,6,PD1,605,A1,0,6,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,7,PD1,605,A1,0,7,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,8,PD2,605,A1,2,8,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,9,PD2,605,A1,2,9,10,Yes,Solid Tumor
472,0605-A1-1,0,PD1,10,PD1,605,A1,0,10,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,1,PD2,606,A1,2,1,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,2,PD2,606,A1,2,2,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,3,PD2,606,A1,2,3,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,4,PD2,606,A1,2,4,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,5,PD2,606,A1,2,5,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,6,PD2,606,A1,2,6,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,7,CR,606,A1,8,7,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,8,PR,606,A1,6,8,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,9,PD2,606,A1,2,9,10,Yes,Solid Tumor
515,0606-A1-1,2,PD2,10,PD2,606,A1,2,10,10,Yes,Solid Tumor
560,0607-A1-1,2,PD2,1,PD1,607,A1,0,1,6,Yes,Solid Tumor
560,0607-A1-1,2,PD2,2,PD2,607,A1,2,2,6,Yes,Solid Tumor
560,0607-A1-1,2,PD2,4,PD2,607,A1,2,3,6,Yes,Solid Tumor
560,0607-A1-1,2,PD2,6,PD1,607,A1,0,4,6,Yes,Solid Tumor
560,0607-A1-1,2,PD2,8,PD2,607,A1,2,5,6,Yes,Solid Tumor
560,0607-A1-1,2,PD2,9,PD2,607,A1,2,6,6,Yes,Solid Tumor
612,0701-A1-1,4,SD,1,PD2,701,A1,2,1,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,2,SD,701,A1,4,2,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,3,SD,701,A1,4,3,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,4,CR,701,A1,8,4,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,5,PD2,701,A1,2,5,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,6,MCR,701,A1,10,6,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,7,PD2,701,A1,2,7,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,8,SD,701,A1,4,8,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,9,MCR,701,A1,10,9,10,Yes,Solid Tumor
612,0701-A1-1,4,SD,10,MCR,701,A1,10,10,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,1,PD1,702,A1,0,1,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,2,PD1,702,A1,0,2,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,3,PD1,702,A1,0,3,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,4,PD1,702,A1,0,4,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,5,PD1,702,A1,0,5,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,6,PD1,702,A1,0,6,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,7,PD1,702,A1,0,7,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,8,PD1,702,A1,0,8,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,9,PD1,702,A1,0,9,10,Yes,Solid Tumor
657,0702-A1-1,0,PD1,10,PD1,702,A1,0,10,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,1,PD1,703,A1,0,1,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,2,PD1,703,A1,0,2,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,3,PD1,703,A1,0,3,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,4,PD1,703,A1,0,4,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,5,PD1,703,A1,0,5,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,6,PD1,703,A1,0,6,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,7,PD1,703,A1,0,7,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,8,PD1,703,A1,0,8,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,9,PD1,703,A1,0,9,10,Yes,Solid Tumor
702,0703-A1-1,0,PD1,10,PD1,703,A1,0,10,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,1,PD1,704,A1,0,1,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,2,PD1,704,A1,0,2,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,3,PD1,704,A1,0,3,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,4,PD1,704,A1,0,4,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,5,PD1,704,A1,0,5,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,6,PD1,704,A1,0,6,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,7,PD1,704,A1,0,7,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,8,PD1,704,A1,0,8,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,9,PD2,704,A1,2,9,10,Yes,Solid Tumor
748,0704-A1-1,0,PD1,10,PD1,704,A1,0,10,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,1,PD2,706,A1,2,1,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,2,PD2,706,A1,2,2,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,3,PD2,706,A1,2,3,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,4,PD2,706,A1,2,4,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,5,PD2,706,A1,2,5,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,6,PD2,706,A1,2,6,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,7,PD2,706,A1,2,7,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,8,PD2,706,A1,2,8,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,9,PD2,706,A1,2,9,10,Yes,Solid Tumor
790,0706-A1-1,2,PD2,10,PD2,706,A1,2,10,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,1,PD1,708,A1,0,1,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,2,PD1,708,A1,0,2,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,3,PD1,708,A1,0,3,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,4,PD1,708,A1,0,4,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,5,PD1,708,A1,0,5,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,6,PD1,708,A1,0,6,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,7,PD1,708,A1,0,7,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,8,PD2,708,A1,2,8,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,9,PD1,708,A1,0,9,10,Yes,Solid Tumor
846,0708-A1-1,0,PD1,10,PD1,708,A1,0,10,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,1,PD2,802,A1,2,1,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,2,PD2,802,A1,2,2,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,3,PD2,802,A1,2,3,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,4,PD2,802,A1,2,4,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,5,PD2,802,A1,2,5,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,6,PD2,802,A1,2,6,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,7,PD2,802,A1,2,7,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,8,PD2,802,A1,2,8,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,9,PD2,802,A1,2,9,10,Yes,Solid Tumor
922,0802-A1-1,2,PD2,10,PD2,802,A1,2,10,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,1,PD1,803,A1,0,1,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,2,PD1,803,A1,0,2,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,3,PD2,803,A1,2,3,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,4,PD1,803,A1,0,4,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,5,PD1,803,A1,0,5,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,6,PD1,803,A1,0,6,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,7,PD2,803,A1,2,7,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,8,PD2,803,A1,2,8,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,9,PD2,803,A1,2,9,10,Yes,Solid Tumor
964,0803-A1-1,0,PD1,10,PD1,803,A1,0,10,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,1,PD2,804,A1,2,1,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,2,PD2,804,A1,2,2,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,3,PD2,804,A1,2,3,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,4,PD2,804,A1,2,4,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,5,PD2,804,A1,2,5,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,6,PD2,804,A1,2,6,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,7,PD2,804,A1,2,7,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,8,PD2,804,A1,2,8,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,9,PD2,804,A1,2,9,10,Yes,Solid Tumor
1008,0804-A1-1,2,PD2,10,PD2,804,A1,2,10,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,1,PD2,805,A1,2,1,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,2,PR,805,A1,6,2,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,3,SD,805,A1,4,3,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,4,PD2,805,A1,2,4,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,5,PD2,805,A1,2,5,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,6,PD2,805,A1,2,6,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,7,PD2,805,A1,2,7,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,8,PD2,805,A1,2,8,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,9,PD2,805,A1,2,9,10,Yes,Solid Tumor
1046,0805-A1-1,2,PD2,10,PD2,805,A1,2,10,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,1,CR,808,A1,8,1,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,2,PD1,808,A1,0,2,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,3,PD2,808,A1,2,3,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,4,PD1,808,A1,0,4,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,5,PD1,808,A1,0,5,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,6,PD2,808,A1,2,6,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,7,PD1,808,A1,0,7,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,8,PD1,808,A1,0,8,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,9,CR,808,A1,8,9,10,Yes,Solid Tumor
1179,0808-A1-1,0,PD1,10,PD1,808,A1,0,10,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,1,PD1,813,A1,0,1,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,2,PD1,813,A1,0,2,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,3,PD1,813,A1,0,3,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,4,PD1,813,A1,0,4,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,5,PD1,813,A1,0,5,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,6,PD2,813,A1,2,6,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,7,PD1,813,A1,0,7,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,8,PD1,813,A1,0,8,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,9,PD1,813,A1,0,9,10,Yes,Solid Tumor
1223,0813-A1-1R,0,PD1,10,PD1,813,A1,0,10,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,1,PD2,901,A1,2,1,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,2,PD2,901,A1,2,2,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,3,PD2,901,A1,2,3,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,4,PD1,901,A1,0,4,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,5,PD2,901,A1,2,5,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,6,PD2,901,A1,2,6,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,7,PD1,901,A1,0,7,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,8,PD2,901,A1,2,8,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,9,PD1,901,A1,0,9,10,Yes,Solid Tumor
1247,0901-A1-1,2,PD2,10,PD2,901,A1,2,10,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,1,PD2,902,A1,2,1,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,2,PD1,902,A1,0,2,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,3,PD1,902,A1,0,3,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,4,PD2,902,A1,2,4,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,5,PD1,902,A1,0,5,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,6,PD1,902,A1,0,6,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,7,PD1,902,A1,0,7,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,8,PD1,902,A1,0,8,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,9,PD1,902,A1,0,9,10,Yes,Solid Tumor
1289,0902-A1-1,0,PD1,10,PD1,902,A1,0,10,10,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,1,PD1,903,A1,0,1,9,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,2,PD1,903,A1,0,2,9,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,3,PD1,903,A1,0,3,9,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,4,PD1,903,A1,0,4,9,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,5,PD1,903,A1,0,5,9,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,6,PD1,903,A1,0,6,9,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,7,PD1,903,A1,0,7,9,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,8,PD1,903,A1,0,8,9,Yes,Solid Tumor
1335,0903-A1-1,0,PD1,9,PD1,903,A1,0,9,9,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,1,PD2,905,A1,2,1,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,2,PD2,905,A1,2,2,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,3,PD2,905,A1,2,3,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,4,PD2,905,A1,2,4,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,5,PD2,905,A1,2,5,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,6,PD2,905,A1,2,6,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,7,PD2,905,A1,2,7,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,8,PD2,905,A1,2,8,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,9,PD2,905,A1,2,9,10,Yes,Solid Tumor
1385,0905-A1-1,2,PD2,10,PD2,905,A1,2,10,10,Yes,Solid Tumor
1470,1002-A1-1,0,PD1,1,PD1,1002,A1,0,1,8,Yes,Solid Tumor
1470,1002-A1-1,0,PD1,2,PD2,1002,A1,2,2,8,Yes,Solid Tumor
1470,1002-A1-1,0,PD1,4,PD1,1002,A1,0,3,8,Yes,Solid Tumor
1470,1002-A1-1,0,PD1,6,PD1,1002,A1,0,4,8,Yes,Solid Tumor
1470,1002-A1-1,0,PD1,7,PD1,1002,A1,0,5,8,Yes,Solid Tumor
1470,1002-A1-1,0,PD1,8,PD1,1002,A1,0,6,8,Yes,Solid Tumor
1470,1002-A1-1,0,PD1,9,PD1,1002,A1,0,7,8,Yes,Solid Tumor
1470,1002-A1-1,0,PD1,10,PD1,1002,A1,0,8,8,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,1,PD1,1003,A1,0,1,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,2,PD1,1003,A1,0,2,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,3,PD1,1003,A1,0,3,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,4,PD1,1003,A1,0,4,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,5,PD2,1003,A1,2,5,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,6,PD1,1003,A1,0,6,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,7,PD1,1003,A1,0,7,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,8,PD1,1003,A1,0,8,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,9,PD2,1003,A1,2,9,10,Yes,Solid Tumor
1509,1003-A1-1,0,PD1,10,PD2,1003,A1,2,10,10,Yes,Solid Tumor
1572,1005-A1-1,4,SD,1,CR,1005,A1,8,1,10,Yes,Solid Tumor
1572,1005-A1-1,4,SD,2,PD2,1005,A1,2,2,10,Yes,Solid Tumor
1572,1005-A1-1,4,SD,3,PD2,1005,A1,2,3,10,Yes,Solid Tumor
1572,1005-A1-1,4,SD,4,PD2,1005,A1,2,4,10,Yes,Solid Tumor
1572,1005-A1-1,4,SD,5,PD2,1005,A1,2,5,10,Yes,Solid Tumor
